food_bank,postcode,website,city,county,Latitude,Longitude
House of Bread,ST18 0GB,https://www.hobstafford.co.uk,"Haughton, Tixall, Derrington, Seighford, Whitgreave, Dunston, Weston, Hopton, Sandon, Ingestre, Milwich, Ranton, Salt, Acton Trussell, Colwich, Stowe, Garshall Green, Coppenhall, Great Bridgeford, Allimore Green, Little Bridgeford, Little Haywood, Great Haywood, Hixon, Shut Heath, Coton, Long Compton, Gayton, Bradley, Levedale, Hyde Lea, Coton Clanford, Drointon, Yarlet, Fradswell, Marston, Burston",Staffordshire,52.7833,-2.088391892
HTFoodbank [Holy Trinity Foodbank],N4 4RR,http://www.holytrinityfoodbank.org.uk/,"Finsbury Park, Manor House, Stroud Green, Harringay",Greater London,51.5693,-0.1069
Inspiring Grace,BB9 8SG,http://www.inspiringgrace.co.uk,"Barrowford, Nelson, Blacko, Greystone, Roughlee",Lancashire,53.8465,-2.21094
Instant Neighbour,AB24 3YJ,www.instantneighbour.co.uk/,Aberdeen,Aberdeenshire,57.1437,-2.0981
Joseph's StoreHouse,LE11 1SL,www.carpenters-arms.org,"Loughborough, Thorpe Acre, Nanpantan",Leicestershire,52.7667,-1.2
Junction 7,DL5 7DZ ,https://www.facebook.com/groups/355496618550253/,"Newton Aycliffe, Heighington, Redworth, Aycliffe",Durham,54.6184,-1.5878
Kate's Kitchen,DG12 6AN,www.kateskitchen.org,"Powfoot, Cummertrees, Brydekirk, Annan, Dornock, Eastriggs, Creca",Dumfries and Galloway,54.9777,-3.265228571
Kettering Foodbank,NN16 0SX,www.ketteringfoodbank.org,"Weekley, Warkton, Kettering",Northamptonshire,52.4174,-0.7116
Kincardine Community Association Ltd,FK10 4SF,https://www.fva.org/directory.asp?id=00124000008nYD5,"Alloa, Kennet, Forest Mill, Cambus, Clackmannan, New Sauchie, Tullibody, Kincardine, Bogside",Clackmannanshire,56.1159,-3.7534
Kingâ€™s Church Warrington,WA5 0EF ,www.kingschurchwarrington.co.uk,"Burtonwood, Collins Green, Great Sankey, Penketh",Cheshire,53.4295,-2.6556
Kintyre Food Bank,PA28 6EP,N/a,"Sunadale, Machrihanish, Keil, Grogport, Sheanachie, Bellochantuy, Campbeltown, Skeroblingarry, Carradale, Tangy, Drumlemble, Ballochgair, Kilchenzie, Carrine, Southend, New Orleans, Saddell, Feochaig, Largybaan, Callyburn, Kilkerran, Dalivaddy, Macharioch, East Darlochan, Whitestone, Rhonadale, Westport, Brecklate, Killellan, Kilchrist, Low Ballivain, Oatfield, Kilmichael, Witchburn, Davaar, Killocraw, Glenramskill, Torrisdale, Cour, Peninver, Dippen, Feorlan, Garveld, Drumore, Knocknaha, Chiscan, Corrylach, Drumgarve",Argyll and Bute,55.6333,-5.54075625
Kirkcaldy Food Bank,KY1 1JA,http://www.kirkcaldyfoodbank.org.uk/Index.asp?MainID=21281,"Dysart, Pathhead, Thornton, Kirkcaldy, East Wemyss, West Wemyss, Linktown, Coaltown of Wemyss, Gallatown",Fife,56.1301,-3.121411111
Kirkcaldy Food Bank,KY1 1ET,http://www.kirkcaldyfoodbank.org.uk/Index.asp?MainID=21281,"Dysart, Pathhead, Thornton, Kirkcaldy, East Wemyss, West Wemyss, Linktown, Coaltown of Wemyss, Gallatown",Fife,56.1301,-3.121411111
Kirkcaldy Food Bank,KY2 6LF,http://www.kirkcaldyfoodbank.org.uk/Index.asp?MainID=21281,"Auchtertool, Cluny, Chapel",Fife,56.1028,-3.2097
Kirkcaldy Food Bank,KY3 9AQ,http://www.kirkcaldyfoodbank.org.uk/Index.asp?MainID=21281,"Aberdour, Burntisland, Pettycur, Dunearn, Kinghorn",Fife,56.05,-3.21864
Kirkcaldy Food Bank,KY1 1LW,http://www.kirkcaldyfoodbank.org.uk/Index.asp?MainID=21281,"Dysart, Pathhead, Thornton, Kirkcaldy, East Wemyss, West Wemyss, Linktown, Coaltown of Wemyss, Gallatown",Fife,56.1301,-3.121411111
L'chaim Food Bank,M7 4LN,www.lchaim.org.uk,Broughton,Greater Manchester,53.5056,-2.2623
Lambeth Larder,SE24 0HU,www.lambethlarder.org,"Herne Hill, North Dulwich",Greater London,51.4542,-0.0983
Lancaster Community Club,LA1 5DF,http://www.lancastercommunityclub.co.uk,"Scotforth, Lancaster",Lancashire,54.0167,-2.7915
Lancaster People's Cafe,LA1 4TL,https://www.facebook.com/groups/lancasterpeoplescafe/,"Scotforth, Lancaster",Lancashire,54.0167,-2.7915
Largs Food Bank,KA30 8BL,https://www.facebook.com/NCFoodbank/,"Largs, Noddsdale, Routenburn, Netherhall",North Ayrshire,55.7963,-4.8634
Ledbury Food Bank,HR8 1EA,http://www.ledburyfoodbank.org/,"Much Marcle, Canon Frome, Bosbury, Eastnor, Castle Frome, Ashperton, Little Marcle, Donnington, Putley, Ledbury, Rushall, Trumpet, Waller's Green, Lower Egleton, Chase End Street, Bromsberrow Heath, Wellington Heath, Staplow, Fromes Hill, Preston, Ludstock, Pow Green, Munsley, Stretton Grandison, Newtown, Aylton, Coddington, Hollybush",Herefordshire,51.9947,-2.454971429
Leith Basics Bank,EH6 5JX,edinburghcitymission.org.uk,"Edinburgh, Leith",City of Edinburgh,55.9521,-3.1844
Leominster Community Larder and Food BAnk,HR6 8NJ,https://www.facebook.com/leominsterfoodbank/,"Yarpole, Hope under Dinmore, Eye, Leinthall Earls, Stockton, Docklow, Kimbolton, Risbury, Stoke Prior, Leominster, Kingsland, Eyton, Hatfield, Luston, Grafton, Lucton, Ashton, Pembridge, Eardisland, Wigmore, Moreton, Aymestrey, Wharton, Shobdon, Staunton on Arrow, Brierley, Stretford Court, Monkland, Marston Stannett, Lawton, Cobnash, Laysters Pole, Ivington Green, Ivington, Grendon Green, Broxwood, Steen's Bridge, Bircher, Aulden, Whyle, Upper Hill, Stansbatch, Shirl Heath, Pudleston, Mortimer's Cross, Luntley, Lower Lye, Lower Barewood, Ledicot, Humber Court, Barewood, Ongar Street, Cholstrey, Yatton, Marston",Herefordshire,52.2797,-2.678565455
Leominster Community Larder and Food BAnk,HR6 8NJ,https://www.facebook.com/leominsterfoodbank/,"Yarpole, Hope under Dinmore, Eye, Leinthall Earls, Stockton, Docklow, Kimbolton, Risbury, Stoke Prior, Leominster, Kingsland, Eyton, Hatfield, Luston, Grafton, Lucton, Ashton, Pembridge, Eardisland, Wigmore, Moreton, Aymestrey, Wharton, Shobdon, Staunton on Arrow, Brierley, Stretford Court, Monkland, Marston Stannett, Lawton, Cobnash, Laysters Pole, Ivington Green, Ivington, Grendon Green, Broxwood, Steen's Bridge, Bircher, Aulden, Whyle, Upper Hill, Stansbatch, Shirl Heath, Pudleston, Mortimer's Cross, Luntley, Lower Lye, Lower Barewood, Ledicot, Humber Court, Barewood, Ongar Street, Cholstrey, Yatton, Marston",Herefordshire,52.2797,-2.678565455
Lifecentral Food Bank (Black Country Food Bank),B63 3AJ,https://www.blackcountryfoodbank.org.uk/,"Halesowen, Cradley, Hasbury",West Midlands,52.4486,-2.067133333
Lifeshare,M1 1EB,www.lifeshare.org.uk,Manchester,Greater Manchester,53.4809,-2.2374
Lincoln Community Larder - St Giles Methodist Church,LN2 4LQ,www.lincolnlarder.co.uk/,"Dunholme, Welton, Hackthorn, Nettleham, Sudbrooke, Scothern, Lincoln, Bishopbridge, Glentham, Spital in the Street, Spridlington, Saxby, Atterby, Ryland, Normanby by Spital, Caenby, Bishop Norton, Owmby by Spital, Caenby Corner",Lincolnshire,53.3007,-0.499268421
Lincoln Community Larder - St John The Baptist Parish Church Hall,LN2 2ES,www.lincolnlarder.co.uk/,"Dunholme, Welton, Hackthorn, Nettleham, Sudbrooke, Scothern, Lincoln, Bishopbridge, Glentham, Spital in the Street, Spridlington, Saxby, Atterby, Ryland, Normanby by Spital, Caenby, Bishop Norton, Owmby by Spital, Caenby Corner",Lincolnshire,53.3007,-0.499268421
Lincoln Community Larder - YMCA Annex,LN2 5AR,www.lincolnlarder.co.uk/,"Dunholme, Welton, Hackthorn, Nettleham, Sudbrooke, Scothern, Lincoln, Bishopbridge, Glentham, Spital in the Street, Spridlington, Saxby, Atterby, Ryland, Normanby by Spital, Caenby, Bishop Norton, Owmby by Spital, Caenby Corner",Lincolnshire,53.3007,-0.499268421
Living Hope Food Bank,S42 5TP,https://alccholmewood.com/living-hope,"Old Brampton, Wingerworth, Old Tupton, Holmewood, Tupton, Cutthorpe, Holymoorside, Grassmoor, Nether Moor, Walton, Alton, North Wingfield, Wadshelf, Temple Normanton, Williamthorpe",Derbyshire,53.2428,-1.447173333
Living Well,SE20 7JX,http://www.livingwell.life,"Penge, Anerley",Greater London,51.4154,-0.05695
Loaves and Fishes Foodbank East Kilbride,G75 0XS,loavesandfishesek.com,"Jackton, Crutherland, Auldhouse",South Lanarkshire,55.7511,-4.1977
Loaves and Fishes Foodbank East Kilbride,G75 0XS,loavesandfishesek.com,"Jackton, Crutherland, Auldhouse",South Lanarkshire,55.7511,-4.1977
Ludlow Food Bank,SY8 1SX,www.strettonparish.org.uk,"Stanton Lacy, Caynham, Coreley, Middleton, Richard's Castle, Ludlow, Great Sutton, Ashford Carbonel, Bitterley, Middleton on the Hill, Woofferton, Culmington, Knowle, Hope Bagot, Bromfield, Henley, Stoke St Milborough, Overton, Hopton Cangeford, Aston, Greete, Ashford Bowdler, Comberton, Wyson, Snitton, Whitton, Hints, Nash, Ludford, Orleton Common, Siefton, Knowbury, Farden, Hayton's Bent, Downton on the Rock, Cleehill, Cleedownton, Lower Hayton, Upper Hayton, Leinthall Starkes, Brimfield, Burrington, Orleton, Little Hereford, Elton",Shropshire,52.4048,-2.694006667
Machars Churches Basics Food Bank,DG8 6EL,https://www.facebook.com/MacharsBasicsFoodBank2012/,"Whauphill, Newton Stewart, Barraer, Sorbie, Balminnoch, Bladnoch, Whithorn, Challoch, Kirkcowan, Palnure, Castlewigg, Monreith, Kirkinner, Glasserton, Minnigaff, Garlieston, Carseriggan, Bargrennan, Loch Head, Wigtown, Elrig, Glenwhilly, Barnbarroch, Mochrum, Barwinnock, Dallash, Auchenmalg, Glenluce, Eggerness, New Luce, Palgowan, Portyerrock, Clachaneasy, Port William, Knowe, Carsluith, Knockville, Cumloden, Barholm, Isle of Whithorn, Kirkdale, Kirkland of Longcastle, Craigdhu, Miltonise, Kidsdale, Glenrazie, Cairndoon, Shennanton, Penninghame, Craighlaw, Alticry, Stewarton, Boreland, Cults, Spittal, Bargaly, Polbae, Benfield, Creetown, Whitecairn, Carsegowan, Cairnsmore, Cassencarie, Culquhirk, Airyhassen, Blackcraig, Causeway End, Corsemalzie, Galdenoch, Glentrool, Culshabbin, Nether Barr, Markdhu, Cutcloy, Larg, Baltersan",Dumfries and Galloway,54.8181,-4.495378947
Maldon Food Pantry,CM9 5DB,http://elimmaldon.org.uk/maldon-food-pantry/,"Tolleshunt Knights, Woodham Mortimer, Tollesbury, Great Totham, Salcott, Tolleshunt Major, Langford, Tolleshunt D'Arcy, Little Totham, Virley, Mundon, Heybridge Basin, Maldon, Woodham Walter, Goldhanger, Broad Street Green, Heybridge, Ulting",Essex,51.7987,0.724438889
Manna Food Bank,AL10 0UJ,https://OPENHEAVENSHATFIELD.COM,Hatfield,Hertfordshire,51.7634,-0.2242
Marsh Community Centre,LA1 5PP,https://www.facebook.com/MarshCommunityCentreCharitableCompany/,"Scotforth, Lancaster",Lancashire,54.0167,-2.7915
Micah Liverpool,L8 7LT,www.liverpoolcathedral.org.uk,Liverpool,Merseyside,53.4106,-2.9779
Micah Liverpool,L1 5JP,www.liverpoolcathedral.org.uk,Liverpool,Merseyside,53.4106,-2.9779
Mission Trinity,DN12 1AB,https://www.missiontrinity.org,"Conisbrough, New Edlington, Denaby Main, Denaby",South Yorkshire,53.4819,-1.2453
Moredun Basics Bank,EH17 7NX,edinburghcitymission.org.uk,"Gilmerton, Kaimes",City of Edinburgh,55.9084,-3.128
Mosaic Food Bank,LE3 8BG,www.mosaicchurch.org.uk,"Glenfield, Braunstone, Dane Hills",Leicestershire,52.6466,-1.186966667
Musselburgh Basics Bank,EH21 6JQ,edinburghcitymission.org.uk,"Wallyford, Musselburgh, Inveresk, Levenhall, Newcraighall",East Lothian,55.9417,-3.0499
Neo Community,CH42 3YN, https://www.neocommunity.org.uk/,"Rock Ferry, Prenton, Birkenhead",Merseyside,53.3692,-3.013966667
Netherton Food Bank (Black Country Food Bank),DY2 9PN,https://www.blackcountryfoodbank.org.uk/,Netherton,West Midlands,52.4833,-2.0833
New Covenant Cherubim and Seraphim Church,N22 8JA,www.thenewcovenant.co.uk,"Wood Green, Alexandra Palace, Noel Park, Alexandra Park, Bowes Park",Greater London,51.6,-0.1167
New Forest Basics Bank,SO41 9AG,www.basicsbank.org.uk,"Sway, Milford on Sea, Hordle, Boldre, Lymington, Walhampton, Everton, Downton, Pilley, Lower Pennington, Keyhaven, Lymore, Portmore, Tiptoe, Battramsley, East End",Hampshire,50.7869,-1.5713625
New Life Church - The Storehouse Foodbank,CW12 4EY,nlchurch.org.uk,"Astbury, Congleton, Eaton, Rodeheath, North Rode, Swettenham, Hulme Walfield, Brownlow Heath, Hightown, Key Green, Brereton Heath, Timbersbrook",Cheshire,53.1511,-2.217375
New Starts,B45 0JA,https://www.newstarts.org.uk,"Cofton Hackett, Barnt Green, Lickey, Rubery, Rednal",Worcestershire,52.3763,-2.00872
Newington Basics Bank,EH8 9NZ,edinburghcitymission.org.uk,Edinburgh,City of Edinburgh,55.9489,-3.1632
Newmarket Open Door,CB8 9AP,www.newmarketopendoor.org.uk,"Wickhambrook, Cowlinge, Kentford, Gazeley, Stradishall, Moulton, Ousden, Great Bradley, Exning, Lidgate, Dalham, Newmarket, Denston, Woodditton, Kirtling, Burrough Green, Cheveley, Stetchworth, Six Mile Bottom, Kennett, Westley Waterless, Brinkley, Carlton, Dullingham, Snailwell, Ashley, Clopton Green, Burrough End, Thorns, Lady's Green, Ditton Green, Upend, Saxon Street, Kirtling Green, Dunstall Green, Landwade",Suffolk,52.1613,0.445961111
Newquay Foodbank,TR7 2SW,http://www.newquayfoodbank.co.uk/contact-details/,"St Columb Minor, Newquay, Porth, Pentire",Cornwall,50.418,-5.060475
NewStarts,B603DR,https://www.newstarts.org.uk,,,,
North Oxfordshire Community Food Bank,OX5 2DS,www.northoxfordshirecommunityfoodbank.org.uk/,"Tackley, Charlton-on-Otmoor, Islip, Kidlington, Bletchingdon, Yarnton, Oddington, Shipton-on-Cherwell, Kirtlington, Murcott, Nethercott, Begbroke, Water Eaton, Fencott, Hampton Poyle, Thrupp",Oxfordshire,51.8807,-1.2513
North Oxfordshire Community Food Bank,OX7 5LL,www.northoxfordshirecommunityfoodbank.org.uk/,"Bledington, Over Worton, Fifield, Heythrop, Shipton-under-Wychwood, Little Tew, Chipping Norton, Idbury, Dean, Chadlington, Salford, Great Tew, Spelsbury, Foscot, Ledwell, Gagingwell, Nether Worton, Taston, Enstone, Sandford St Martin, Lidstone, Eastend, Ramsden, Westcote, Kingham, Middle Barton, Swerford, Great Rollright, Churchill, Finstock, Cornwell, Over Norton, Charlbury, Fulwell, Westcott Barton, Ascott-under-Wychwood, Radford, Church Enstone, Sarsden, Fawler, Chilson, Lyneham, Milton-under-Wychwood",Gloucestershire,51.9035,-1.521218605
North Paddington Food Bank,W9 2HX,https://www.npfoodbank.org.uk/,"Maida Vale, Maida Hill, Westbourne Green, Paddington, Warwick Park",Greater London,51.5303,-0.18458
Northampton Hope Centre,NN1 3DS,https://www.justgiving.com/campaign/helphope,Northampton,Northamptonshire,52.25,-0.8833
Northampton Hope Centre,NN1 3DS,http://www.northamptonhopecentre.org.uk/,Northampton,Northamptonshire,52.25,-0.8833
One Can Hope,HP11 1RW,www.onecanhope.org.uk,Wycombe Marsh,Buckinghamshire,51.6242,-0.7453
Open Door Baptist Church,PE1 3PF,https://opendoorhs.org.uk/,"Peterborough, New England, Newark",Cambridgeshire,52.5736,-0.241933333
Pantry Food Bank,SA8 4HH,www.pantryfoodbank.org,"Llangiwg, Cilybebyll, Alltwen, Pontardawe, Rhos, Rhyd-y-fro, Ynysmeudwy, Trebanos",Neath Port Talbot,51.7333,-3.8458625
PATCH - Pembrokeshire Action to Combat Hardship,SA73 3LD,http://patchcharity.org.uk/,"Milford Haven, Rosemarket, Burton, Llanstadwell, Herbrandston, Sardis, Waterston, Steynton, Neyland, Robeston Cross, Houghton, Newton Mountain, Thornton, Honeyborough",Pembrokeshire,51.7128,-4.983364286
PATCH - Pembrokeshire Action to Combat Hardship,SA72 6TD,http://patchcharity.org.uk/,"Waterloo, Cosheston, Pembroke Dock",Pembrokeshire,51.6919,-4.9216
PATCH - Pembrokeshire Action to Combat Hardship,SA69 9BD,http://patchcharity.org.uk/,"Pentlepoir, Saundersfoot",Pembrokeshire,51.7118,-4.7014
PATCH - Pembrokeshire Action to Combat Hardship,SA61 1QE,http://patchcharity.org.uk/,"Haverfordwest, Merlin's Bridge, Woodbine, Prendergast",Pembrokeshire,51.8017,-4.9691
Pendle Food For All,BB9 8EL,https://www.facebook.com/pendlefoodforall/,"Barrowford, Nelson, Blacko, Greystone, Roughlee",Lancashire,53.8465,-2.21094
People without labels,G40 1PE,https://thespacescotland.org/,Glasgow,Dunbartonshire,55.8485,-4.2235
Poitiers Care,SO40 7DU,https://www.southampton-city-catholics.org.uk/More/Outreach/Poitiers-Care/Poitiers-Care.php,"Eling, Cadnam, Totton, Marchwood, Hounsdown, Bartley, Ashurst, Calmore, Copythorne, Pooksgreen, Winsor, Woodlands, Netley Marsh, Newbridge, Colbury, Testwood",Hampshire,50.9,-1.51341875
Porch Boxes,M26 4LN,https://porchboxes.wordpress.com/,"Prestolee, Radcliffe",Greater Manchester,53.55,-2.3333
Port GroceryÂ ,CH65 0AB,http://www.trinityellesmereport.org.uk/article/38/port-grocery,Ellesmere Port,Cheshire,53.2787,-2.9013
Portobello Basics Bank,EH7 6TZ,edinburghcitymission.org.uk,Edinburgh,City of Edinburgh,55.9521,-3.1965
Private food bank,LE97EZ,N/a,,,,
Provide Devon,PL5 3LS,https://providedevon.org.uk/,"St Budeaux, Tamerton Foliot",Devon,50.4,-4.16135
Purley Food Hub,CR8 2LN,www.purleyfoodhub.net/,"Kenley, Purley",Greater London,51.3264,-0.10655
PXI Parson Cross Initiative Projects,S5 8NJ,https://pxiprojects.wordpress.com/,,,,
Re:store Northampton,NN1 2LZ,www.restorenorthampton.org.uk,Northampton,Northamptonshire,52.25,-0.8833
ReadiFood (Faith Christian Group),RG2 0NH,www.readifood.org.uk,"Arborfield, Shinfield, Arborfield Cross, Arborfield Garrison, Whitley",Berkshire,51.4014,-0.94632
Real Economy Cooperative,BS1 1JQ,www.realeconomy.co.uk,Bristol,County of Bristol,51.4552,-2.5966
REC Foodbank,SS6 7JQ,https://www.recchurch.co.uk/rec-foodbank,Rayleigh,Essex,51.5857,0.6046
REC Foodbank,SS6 7JQ,https://www.recchurch.co.uk/rec-foodbank,Rayleigh,Essex,51.5857,0.6046
Refresh (Black Country Food Bank),DY1 3EB,https://www.blackcountryfoodbank.org.uk/,Dudley,West Midlands,52.5,-2.0833
Replenish (Black Country Food Bank),DY8 1PQ,https://www.blackcountryfoodbank.org.uk/,"Amblecote, Wordsley, Stourbridge, Wollaston, Norton, Old Swinford",West Midlands,52.4641,-2.15605
Revivify CIC,CR0 1RF,Revivifycommunity.co.uk,"Shirley, New Addington, Addington, Croydon",Greater London,51.3776,-0.060975
Riverside Storehouse (part of Riverside Vineyard Church),TW13 7LX,https://www.riversidevineyard.com/storehouse,"Hanworth, Feltham",Greater London,51.4333,-0.3986
Royal Oak Community Centre (Food Pantry),M23 1DU,https://www.facebook.com/pg/royaloakcommunitycentrewythenshawe/services/,Baguley,Greater Manchester,53.3947,-2.279
S20 Food Bank,S20 5EJ,http://www.sheffieldfoodbank.org.uk/s20/,Sheffield,South Yorkshire,53.3347,-1.352
Sadaka,RG6 7BH,http://www.mysadaka.co.uk/,Reading,Berkshire,51.4396,-0.9292
Salma Food Bank,B66 1QG,www.salma-foodbank.org,Smethwick,West Midlands,52.497,-1.973
SandBach Food Bank,CW11 1DX,http://www.sandbachmethodist.org.uk/,"Wheelock, Warmingham, Elworth, Sandbach, Spen Green, Fourlanes End, Hassall Green, Brereton Green, Brookhouse Green, Arclid, Winterley, Bradwall Green, Hassall",Cheshire,53.1287,-2.382315385
Second Chance Charity,ME4 4DH,https://www.mrs.plus,"Brompton, Chatham",Kent,51.4,0.5306
Sharing Life Trust,HP19 8JR,http://www.sharinglifetrust.org,Aylesbury,Buckinghamshire,51.8167,-0.8146
Sherborne Food Bank,DT9 4DU,www.sherbornefoodbank.org,"Bradford Abbas, Leigh, Yetminster, Lillington, Haydon, Over Compton, Sherborne, Chetnole, Trent, Adber, Purse Caundle, North Wootton, Crouch Hill, Middlemarsh, Sandford Orcas, Milborne Wick, Sandhills, Ryme Intrinseca, Beer Hackett, Caundle Marsh, Folke, Nether Compton, Oborne, Poyntington, Thornford, Glanvilles Wootton, Bishop's Caundle, Goathill, Holnest, Longburton, Allweston, Stowell, Milborne Port, Charlton Horethorne, Corton Denham",Dorset,50.9264,-2.519611429
Shipshape Health and Wellbeing,S11 8AE,https://www.shipshape.org.uk/services,Sheffield,South Yorkshire,53.3608,-1.5084
Shoreline Church Food Bank,PR9 0TS,https://www.shorelinechurch.org.uk/ministries/food-bank/,"Banks, Churchtown, Crossens, Marshside, Mere Brow",Lancashire,53.6833,-2.94928
Skipton Food Bank,BD23 1ET,https://www.skiptonfoodbank.org,"Airton, Halton Gill, Deepdale, Burnsall, Kirkby Malham, Bell Busk, Linton, Skipton, Hetton, Buckden, Threshfield, Appletreewick, Long Preston, Starbotton, Grassington, Kilnsey, East Marton, Wigglesworth, Conistone, Gargrave, Kettlewell, Embsay, Thornton-in-Craven, West Marton, Elslack, Coniston Cold, Litton, Hellifield, Malham, Bolton Bridge, Cracoe, Broughton, Rylstone, Arncliffe, Eshton, Carleton, Halton West, Draughton, Hebden, Bank Newton, Hanlith, Long Gill, Hill End, Eastby, Drebley, Yockenthwaite, Tosside, Thorlby, Thorpe, Otterburn, Cray, Arncliffe Cote, Foxup, Hubberholme, Howgill, Flasby, Threapland, Ravenshaw, Oughtershaw, Brayshaw, Bordley, Nappa, Hawkswick, Halton East, Calton, Bolton Abbey, Beamsley, Winterburn, Mearbeck, Stirton, Bracewell, Horton",North Yorkshire,54.0283,-2.093094444
Sleaford New Life Community Larder,NG34 7JP,www.communitylarder.co.uk,"Osbournby, Horbling, Burton Pedwardine, Pointon, Silk Willoughby, Haceby, Asgarby, Swarby, Billingborough, Aslackby, Helpringham, Heckington, Great Hale, Walcot, Ruskington, Cranwell, Anwick, Howell, Leasingham, Swaton, Ewerby, Laughton, Pickworth, North Rauceby, Sapperton, Threekingham, Quarrington, Birthorpe, Aswarby, Scredington, Little Hale, Folkingham, Sleaford, Spanby, Holdingham, Kirkby la Thorpe, Dembleby, Bridge End, Newton, South Rauceby, Braceby, Aunsby, Evedon, Ewerby Thorpe",Lincolnshire,52.9299,-0.384945455
South Norwood Community Kitchen,SE254LX,Www.southnorwoodcommunitykitchen.co.uk,,,,
Southampton City Mission - Basics Bank,SO15 0LP,www.southamptoncitymission.co.uk,"Southampton, Millbrook, Freemantle, Shirley",Hampshire,50.9039,-1.419675
Southampton City Mission - Basics Bank,SO14 7FE,www.southamptoncitymission.co.uk,Northam,Hampshire,50.911,-1.392
Southampton City Mission - Basics Bank,SO19 8ES,www.southamptoncitymission.co.uk,"Itchen, Woolston, Sholing, Thornhill",Hampshire,50.9045,-1.367075
Southampton City Mission - Basics Bank,SO18 1NP,www.southamptoncitymission.co.uk,"Swaythling, Bitterne",Hampshire,50.9367,-1.3684
Southampton City Mission - Basics Bank,SO16 3BE,www.southamptoncitymission.co.uk,"Chilworth, Bassett, Nursling, Lordswood, Rownhams, Upton, Coxford, Lordshill",Hampshire,50.9644,-1.431825
Southampton City Mission - Basics Bank,SO16 8HY,www.southamptoncitymission.co.uk,"Chilworth, Bassett, Nursling, Lordswood, Rownhams, Upton, Coxford, Lordshill",Hampshire,50.9644,-1.431825
Southway Housing Trust,M20 2SN,www.southwayhousing.co.uk,"Didsbury, Withington",Greater Manchester,53.417,-2.23295
Springs (Black Country Food Bank),DY3 1YB,https://www.blackcountryfoodbank.org.uk/,"Himley, Swindon, Gornalwood, Upper Gornal, Sedgley, Gospel End",Staffordshire,52.519,-2.15085
Square Mile Food Bank,EC1Y 0SA,https://barbicanvolunteers.wordpress.com/city-of-london-food-bank/,London,Greater London,51.5232,-0.0933
St Catherine's Church Centre,WF1 5HL,www.stcatherines-wakefield.org.uk,"Outwood, Wakefield, Warmfield",West Yorkshire,53.7119,-1.4771
St Luke's,LS11 7HY,https://stlukesholbeck.org.uk/,Beeston,West Yorkshire,53.7667,-1.5667
St Luke's Hub (West London Mission),SE11 4NT,www.wlm.org.uk,"Kennington, Vauxhall, Oval, Lambeth",Greater London,51.488,-0.113125
St Martins Foodbank,SY11 3AY,https://www.facebook.com/stmartinsfoodbank/,"West Felton, Ifton Heath, Whittington, Hindford, Haughton, Rednal, Oswestry, Eardiston, New Marton, Rhyn, Babbinswood, Street Dinas, Middleton, Weirbrook, St Martin's, Grimpo, Queen's Head, Welsh Frankton",Shropshire,52.8249,-2.965927778
St Mary's Cathedral Community Meals,AB10 1SH,www.stmaryscathedralaberdeen.org,Aberdeen,Aberdeenshire,57.1437,-2.0981
St Paul's Pantry,CW1 3BY,http://stpaulscentre.org.uk/,"Crewe, Radway Green, Coppenhall Moss, Bradfield Green, Haslington",Cheshire,53.0979,-2.389
St Pauls Church Hounslow West,TW3 3DA,www.stpaulshw.org.uk,"Hounslow, Hounslow Central, Hounslow East, Hounslow West",Greater London,51.4684,-0.3682
St. Mary's Church and Community Food Bank,M34 7GD,https://www.stmaryshg.org.uk/food-bank,"Denton, Haughton Green, Audenshaw",Greater Manchester,53.4568,-2.108233333
Stafford and Surrounds Community Food Support,ST16 2AJ,https://www.corganisers-stafford.co.uk/stafford-and-surrounds-community-food-support/,"Stafford, Castle Bank",Staffordshire,52.8052,-2.1164
Stannington Foodbank,S6 5HZ,https://www.facebook.com/Stannington-Foodbank-112968863665554/,"Stannington, Low Bradfield, Birley Carr, High Bradfield",South Yorkshire,53.3931,-1.5452
Storehouse North Down Foodbank,BT19 7QT ,www.storehousenorthdown.com,"Bangor, Crawfordsburn, Helens Bay, Groomsport",County Down,54.6534,-5.687875
Stow Park Community Centre,NP20 4FX,http://www.stowparkcommunitycentre.org.uk/,Newport,Newport,51.5877,-2.9984
Streetskitchen,N7 6AA,http://www.streetskitchen.org,"Tufnell Park, Lower Holloway, Holloway, Islington, Caledonian Road, Seven Sisters Road, Holloway Road",Greater London,51.5572,-0.120514286
Sufra NW London,NW10 0PW,www.sufra-nwlondon.org.uk,"Willesden Green, North Acton, Harlesden, Neasden, Willesden, Kensal Rise, Park Royal, Lower Place, Church End, Old Oak Common, Stonebridge Park, Kensal Green, Stonebridge, Willesden Junction",Greater London,51.5471,-0.243121429
Sunnah Healthcare,S4 8LJ,www.sunnahhealthcare.co.uk,Sheffield,South Yorkshire,53.383,-1.4659
Sustainability Morecambe,LA4 4PF,https://www.facebook.com/sustainabilitymorecambe/,"Torrisholme, West End, Morecambe",Lancashire,54.0664,-2.847033333
